"Timestamp","Age","Sex","Handedness","Experience with Virtual Reality","Participant number","Q1","Q2","Q6","Q7","Q8","Q9","Q10","Q11","Q12","Q13","Q14","Q15","Q16","Q17","Q18","Q19","Which Hand was presented to you","Do you want to add anything else?","","",""
"2020/02/18 9:17:57 PM GMT+1","19","Male","Right-Handed","Never used it","0","4","1","5","6","3","2","5","5","2","2","6","4","2","5","2","2","Realistic Hand","","3","4","3"
"2020/02/19 3:12:17 PM GMT+1","24","Male","Right-Handed","Already tried it","1","5","1","6","6","4","1","5","3","6","5","5","2","2","3","2","1","Abstract Hand","ball hat rumgespackt","","",""
"2020/02/19 4:37:41 PM GMT+1","24","Female","Right-Handed","Already tried it","2","3","2","4","6","5","3","4","6","2","5","5","1","1","1","1","1","Abstract Hand","","","",""
"2020/02/19 6:43:24 PM GMT+1","23","Male","Right-Handed","Already tried it","3","6","1","7","7","3","2","5","2","5","5","6","2","4","4","5","2","Abstract Hand","Die Bälle zappeln manchmal.","","",""
"2020/02/19 8:03:05 PM GMT+1","25","Male","Right-Handed","Already tried it","4","5","2","5","7","2","3","5","3","3","6","7","2","1","5","3","3","Realistic Hand","","","",""
"2020/02/20 9:22:08 PM GMT+1","23","Male","Right-Handed","Already tried it","5","7","1","7","7","1","1","4","3","1","7","7","1","1","4","1","1","Abstract Hand","","","",""
"2020/02/21 10:46:25 AM GMT+1","24","Female","Right-Handed","Already tried it","6","6","1","7","7","2","1","6","2","7","7","7","1","1","2","1","3","Realistic Hand","Es gibt einen ""Sweet Spot"", bei dem ein bestimmter Kontrast das größte Selbstbewusstsein innerhalb des virtuellen Raums auslöst. Dieser ändert sich mit der Zeit. Ganz zu Anfang war ein großer Unterschied zw. Umwelt und Hand nötig (das erste mal als sie transparent wurde, war SEHR) irritierend. Dieser wandelte sich zu einem Hellgrau, Dunkelgrau bis fast transparent. Zum Schluss wäre ein zu starker Kontrast ablenkend gewesen, da ich wusste, wo sich meine Hand befindet.","","",""
"2020/02/21 12:19:57 PM GMT+1","24","Female","Right-Handed","Already tried it","7","3","2","6","7","2","2","7","1","6","7","6","4","1","5","3","1","Abstract Hand","","","",""
"2020/02/21 6:16:28 PM GMT+1","24","Male","Right-Handed","Already tried it","8","5","2","6","6","5","4","4","1","1","7","5","1","3","1","3","2","Abstract Hand","BREAKS!!!!1111elf","","",""
"2020/02/22 12:10:57 PM GMT+1","25","Male","Right-Handed","Already tried it","9","7","1","7","7","7","4","5","6","7","6","6","2","2","6","7","7","Abstract Hand","a red panda sitting in the corner cheering you up","","",""
"2020/02/22 2:10:58 PM GMT+1","27","Male","Right-Handed","Never used it","10","6","1","7","6","4","2","6","2","2","6","7","1","1","3","6","4","Abstract Hand","","","",""
"2020/02/24 6:08:39 PM GMT+1","27","Male","Right-Handed","Already tried it","11","5","2","5","5","1","2","5","3","1","6","5","2","1","5","2","4","Abstract Hand","","","",""
"2020/02/25 7:48:09 PM GMT+1","26","Female","Right-Handed","Already tried it","12","5","3","5","6","3","3","1","1","3","7","3","6","6","6","6","5","Abstract Hand","","","",""
"2020/02/26 6:58:24 PM GMT+1","27","Male","Right-Handed","Already tried it","13","5","1","3","5","1","3","5","6","4","6","6","2","1","4","1","1","Abstract Hand","","","",""
"2020/03/05 6:40:10 PM GMT+1","26","Female","Right-Handed","Already tried it","14","2","2","5","5","1","1","6","1","6","6","7","1","4","6","2","1","Abstract Hand","","","",""
"2020/03/06 2:02:02 PM GMT+1","20","Male","Right-Handed","Already tried it","15","6","2","6","6","2","2","5","3","3","6","6","2","1","2","3","2","Abstract Hand","","","",""
