,id,hand,weight_left,weight_right,weight_difference,contrast_level,chosen_weight,correct_input,timestamp,time_needed
0,13,abstract,185,215,30,3,left,False,2020.02.26-18.07.20.332,17.35
1,13,abstract,185,225,40,3,right,True,2020.02.26-18.07.46.294,10.33
2,13,abstract,205,185,20,3,right,False,2020.02.26-18.07.59.966,10.107999999999999
3,13,abstract,185,235,50,3,right,True,2020.02.26-18.08.14.676,11.069
4,13,abstract,185,195,10,3,right,True,2020.02.26-18.08.33.106,8.892000000000001
5,13,abstract,245,185,60,3,left,True,2020.02.26-18.08.48.274,7.563
6,13,abstract,245,185,60,2,left,True,2020.02.26-18.09.01.958,9.729
7,13,abstract,195,185,10,4,right,False,2020.02.26-18.09.22.622,10.13
8,13,abstract,235,185,50,2,left,True,2020.02.26-18.09.41.375,12.276
9,13,abstract,205,185,20,4,left,True,2020.02.26-18.09.59.828,9.629
10,13,abstract,225,185,40,2,right,False,2020.02.26-18.10.14.415,7.774
11,13,abstract,185,215,30,4,right,True,2020.02.26-18.10.29.248,9.282
12,13,abstract,185,215,30,2,right,True,2020.02.26-18.10.44.662,9.908
13,13,abstract,225,185,40,4,left,True,2020.02.26-18.11.01.629,5.585
14,13,abstract,205,185,20,2,left,True,2020.02.26-18.11.12.173,5.742000000000001
15,13,abstract,185,235,50,4,right,True,2020.02.26-18.11.22.516,8.712
16,13,abstract,195,185,10,2,left,True,2020.02.26-18.11.37.997,10.567
17,13,abstract,185,245,60,4,right,True,2020.02.26-18.11.55.534,5.5729999999999995
18,13,abstract,185,245,60,1,right,True,2020.02.26-18.12.07.240,8.846
19,13,abstract,185,195,10,5,left,False,2020.02.26-18.12.21.11,7.382999999999999
20,13,abstract,185,235,50,1,right,True,2020.02.26-18.12.35.778,6.278
21,13,abstract,205,185,20,5,left,True,2020.02.26-18.12.46.635,7.729
22,13,abstract,185,225,40,1,left,False,2020.02.26-18.12.57.748,13.515999999999998
23,13,abstract,185,215,30,5,left,False,2020.02.26-18.13.19.864,7.617999999999999
24,13,abstract,215,185,30,1,right,False,2020.02.26-18.13.34.831,5.228
25,13,abstract,185,225,40,5,right,True,2020.02.26-18.13.45.7,5.853
26,13,abstract,185,205,20,1,right,True,2020.02.26-18.13.56.702,5.93
27,13,abstract,185,235,50,5,right,True,2020.02.26-18.14.07.559,9.125
28,13,abstract,195,185,10,1,right,False,2020.02.26-18.14.23.464,9.294
29,13,abstract,185,245,60,5,right,True,2020.02.26-18.14.39.728,9.437000000000001
30,13,abstract,225,185,40,3,left,True,2020.02.26-18.14.54.996,7.16
31,13,abstract,235,185,50,3,left,True,2020.02.26-18.15.09.595,6.087000000000001
32,13,abstract,185,215,30,3,right,True,2020.02.26-18.15.22.38,5.261
33,13,abstract,245,185,60,3,right,False,2020.02.26-18.15.35.587,7.517
34,13,abstract,205,185,20,3,left,True,2020.02.26-18.15.51.637,5.251
35,13,abstract,185,195,10,4,left,False,2020.02.26-18.16.00.461,7.194
36,13,abstract,195,185,10,3,right,False,2020.02.26-18.16.13.619,7.305
37,13,abstract,185,205,20,4,left,False,2020.02.26-18.16.28.742,9.539
38,13,abstract,185,245,60,2,right,True,2020.02.26-18.16.48.88,7.686
39,13,abstract,185,215,30,4,right,True,2020.02.26-18.17.00.699,5.506
40,13,abstract,235,185,50,2,left,True,2020.02.26-18.17.12.584,6.065
41,13,abstract,185,225,40,4,right,True,2020.02.26-18.17.22.401,6.457000000000001
42,13,abstract,225,185,40,2,left,True,2020.02.26-18.17.33.448,4.971
43,13,abstract,235,185,50,4,left,True,2020.02.26-18.17.45.858,6.02
44,13,abstract,185,215,30,2,right,True,2020.02.26-18.17.58.234,5.082
45,13,abstract,185,245,60,4,right,True,2020.02.26-18.18.08.231,6.779
46,13,abstract,205,185,20,2,right,False,2020.02.26-18.18.19.825,4.624
47,13,abstract,185,195,10,5,left,False,2020.02.26-18.18.28.34,5.54
48,13,abstract,185,195,10,2,right,True,2020.02.26-18.18.39.706,4.871
49,13,abstract,185,205,20,5,right,True,2020.02.26-18.18.53.176,9.439
50,13,abstract,245,185,60,1,left,True,2020.02.26-18.19.10.702,5.315
51,13,abstract,215,185,30,5,left,True,2020.02.26-18.19.20.900,4.613
52,13,abstract,185,235,50,1,right,True,2020.02.26-18.19.31.455,4.7139999999999995
53,13,abstract,185,225,40,5,left,False,2020.02.26-18.19.41.72,5.541
54,13,abstract,225,185,40,1,left,True,2020.02.26-18.19.51.203,6.031000000000001
55,13,abstract,185,235,50,5,right,True,2020.02.26-18.20.02.841,5.608
56,13,abstract,185,215,30,1,right,True,2020.02.26-18.20.18.267,4.959
57,13,abstract,245,185,60,5,left,True,2020.02.26-18.20.31.514,5.305
58,13,abstract,205,185,20,1,left,True,2020.02.26-18.20.45.350,5.008
59,13,abstract,185,195,10,1,left,False,2020.02.26-18.20.53.942,5.428999999999999
60,13,abstract,235,185,50,3,left,True,2020.02.26-18.21.03.291,4.736000000000001
61,13,abstract,245,185,60,3,left,True,2020.02.26-18.21.13.813,4.523
62,13,abstract,225,185,40,3,left,True,2020.02.26-18.21.28.100,5.54
63,13,abstract,185,195,10,4,right,True,2020.02.26-18.21.38.420,4.725
64,13,abstract,185,215,30,3,right,True,2020.02.26-18.21.48.975,5.641
65,13,abstract,205,185,20,4,left,True,2020.02.26-18.22.00.670,6.0089999999999995
66,13,abstract,205,185,20,3,left,True,2020.02.26-18.22.12.811,5.965
67,13,abstract,215,185,30,4,left,True,2020.02.26-18.22.26.170,4.624
68,13,abstract,185,195,10,3,left,False,2020.02.26-18.22.35.910,6.143
69,13,abstract,225,185,40,4,left,True,2020.02.26-18.22.46.823,4.791
70,13,abstract,185,245,60,2,right,True,2020.02.26-18.22.57.444,4.537
71,13,abstract,235,185,50,4,left,True,2020.02.26-18.23.07.107,4.735
72,13,abstract,185,235,50,2,right,True,2020.02.26-18.23.16.746,5.875
